date,month,value,type,mean,stdev,anom
28/09/2012,9.00,1.244658744,with correction,1.180670926,0.153433391,0.417039717
10/10/2012,10.00,1.303995537,with correction,1.307276418,0.141419388,-0.023199653
22/10/2012,10.00,1.378072838,with correction,1.307276418,0.141419388,0.500613258
04/11/2012,11.00,1.431186473,with correction,1.326105077,0.214325315,0.490289239
28/01/2013,1.00,1.470126986,with correction,1.455232149,0.163730433,0.090971708
28/02/2013,2.00,1.372076699,with correction,1.372807156,0.12594535,-0.005799792
09/03/2013,3.00,1.312739906,with correction,1.192007919,0.188399557,0.640829465
19/03/2013,3.00,1.224671614,with correction,1.192007919,0.188399557,0.173374584
29/03/2013,3.00,1.152218267,with correction,1.192007919,0.188399557,-0.211198226
06/04/2013,4.00,1.087260094,with correction,1.045748782,0.162939554,0.254765096
20/04/2013,4.00,1.021802242,with correction,1.045748782,0.162939554,-0.14696579
07/05/2013,5.00,0.955201145,with correction,0.939584997,0.125073075,0.124856189
29/05/2013,5.00,0.905180299,with correction,0.939584997,0.125073075,-0.275076772
10/07/2013,7.00,1.003147587,with correction,0.89647801,0.124188384,0.858933612
29/07/2013,7.00,1.066773285,with correction,0.89647801,0.124188384,1.371265731
09/08/2013,8.00,1.134729528,with correction,1.010118829,0.139559792,0.892883956
26/08/2013,8.00,1.216819527,with correction,1.010118829,0.139559792,1.481090618
04/09/2013,9.00,1.29462657,with correction,1.180670926,0.153433391,0.742704328
15/09/2013,9.00,1.402681992,with correction,1.180670926,0.153433391,1.446954049
13/09/2013,9.00,1.33460083,with correction,1.180670926,0.153433391,1.003236017
27/09/2013,9.00,1.480132122,with correction,1.180670926,0.153433391,1.951734195
08/10/2013,10.00,1.544465697,with correction,1.307276418,0.141419388,1.677204824
03/11/2013,11.00,1.605903195,with correction,1.326105077,0.214325315,1.305483295
02/01/2014,1.00,1.547645468,with correction,1.455232149,0.163730433,0.564423592
25/02/2014,2.00,1.50365864,with correction,1.372807156,0.12594535,1.038954469
10/03/2014,3.00,1.440132878,with correction,1.192007919,0.188399557,1.317014554
22/03/2014,3.00,1.372701297,with correction,1.192007919,0.188399557,0.959096618
31/03/2014,3.00,1.307743124,with correction,1.192007919,0.188399557,0.614307202
14/04/2014,4.00,1.247157135,with correction,1.045748782,0.162939554,1.236092452
25/04/2014,4.00,1.179200893,with correction,1.045748782,0.162939554,0.819028326
07/05/2014,5.00,1.093256233,with correction,0.939584997,0.125073075,1.228651615
14/05/2014,5.00,1.035626674,with correction,0.939584997,0.125073075,0.76788451
13/07/2014,7.00,0.963902024,with correction,0.89647801,0.124188384,0.542917237
11/06/2014,6.00,0.921866591,with correction,0.819475172,0.131552327,0.778332252
28/07/2014,7.00,1.015431344,with correction,0.89647801,0.124188384,0.9578459
06/08/2014,8.00,1.091424079,with correction,1.010118829,0.139559792,0.582583631
17/08/2014,8.00,1.155549455,with correction,1.010118829,0.139559792,1.042066805
25/08/2014,8.00,1.208432071,with correction,1.010118829,0.139559792,1.420991241
03/09/2014,9.00,1.26298028,with correction,1.180670926,0.153433391,0.536450075
17/09/2014,9.00,1.33751562,with correction,1.180670926,0.153433391,1.022233119
05/10/2014,10.00,1.423710119,with correction,1.307276418,0.141419388,0.823322056
25/11/2014,11.00,1.511264351,with correction,1.326105077,0.214325315,0.863916956
26/12/2014,12.00,1.392745209,with correction,1.34117191,0.174417511,0.295688768
03/03/2015,3.00,1.3859312,with correction,1.192007919,0.188399557,1.029319197
15/03/2015,3.00,1.299623352,with correction,1.192007919,0.188399557,0.571208525
31/03/2015,3.00,1.221173866,with correction,1.192007919,0.188399557,0.154809
08/04/2015,4.00,1.154716658,with correction,1.045748782,0.162939554,0.668762575
20/04/2015,4.00,1.097878257,with correction,1.045748782,0.162939554,0.319931366
01/05/2015,5.00,1.033128283,with correction,0.939584997,0.125073075,0.747909057
10/05/2015,5.00,0.969835704,with correction,0.939584997,0.125073075,0.241864259
31/05/2015,5.00,0.875616284,with correction,0.939584997,0.125073075,-0.511450713
26/07/2015,7.00,0.964838921,with correction,0.89647801,0.124188384,0.550461394
04/08/2015,8.00,1.016472341,with correction,1.010118829,0.139559792,0.045525375
17/08/2015,8.00,1.085761059,with correction,1.010118829,0.139559792,0.542005896
29/08/2015,8.00,1.157839647,with correction,1.010118829,0.139559792,1.058476919
14/09/2015,9.00,1.216676762,with correction,1.180670926,0.153433391,0.234667535
