system:index,CEC,IntraVarMaxTemp,IntraVarPPT,MAP,MAPVariance,MAT,MATMax,MatMaxVar,PPTSeasonality,SIF2015_mean,Sand,WaterTableDepth,constant,mcwd2015,ppt2015_mean,temp2015_mean,Long,Lat
71,10,1.603007744,100.3456794,1421.108541,240.8608094,297.76758,306.5968,0.259364857,0.640547563,-0.158400449,63,-8.8876095,0,-1.124784629,-0.875598728,2.365310805,-60.41170286,-14.14846572
72,24,1.112585537,153.9778939,3277.511229,255.081354,284.49857,291.5105,0.257832991,0.442848704,0.149075095,41,-35.11475,0,0,-0.477477232,1.335950184,-70.74232862,-13.69930808
73,25,1.102233799,180.3281934,3696.809415,220.4142075,287.56097,294.7541,0.262838151,0.452279774,0.69761563,37,-38.555813,0,0,-0.931178914,1.470715595,-70.29317098,-13.69930808
74,26,1.263928568,192.023973,3665.931759,348.8041466,293.32785,300.55997,0.247079696,0.463483805,0.131036467,30,-35.159714,0,0,-1.330448567,1.818851252,-69.84401334,-13.69930808
75,19,1.638141123,181.7880367,3394.981314,334.733234,295.81396,304.36032,0.285400181,0.425060868,-0.027483311,31,-30.510546,0,0.4082483,-1.141540713,1.471357552,-69.3948557,-13.69930808
76,16,2.062020814,152.0086579,2771.122525,340.1669695,297.70035,307.1882,0.352475704,0.46565101,-1.202256629,37,-26.607103,0,0,-1.17237708,1.183477472,-68.94569806,-13.69930808
77,13,2.069417693,136.0465221,2272.174648,351.0728067,298.1668,307.91556,0.309692266,0.500749417,0.253545604,31,-16.45791,0,0.40824829,-0.682028794,0.987433992,-68.49654041,-13.69930808
78,10,1.962543499,112.0884227,1896.389323,335.5637323,298.89984,308.69586,0.338363883,0.491972499,-1.191150404,34,-4.303105,0,-0.628980742,-1.111429743,1.086321386,-67.59822513,-13.69930808
79,11,1.672510185,110.9384874,1828.716504,282.4364727,298.9835,307.97052,0.271588323,0.508968921,-0.387643426,39,-4.000881,0,-0.711450161,-1.23640104,1.08784089,-67.14906749,-13.69930808
80,9,1.547176079,117.3898729,1593.309226,262.6656814,298.53036,307.13254,0.331303469,0.674869214,-0.61778766,55,-5.536486,0,-1.514803449,-0.54734672,2.556774803,-62.65749107,-13.69930808
81,10,1.527856636,114.9165256,1629.381026,285.3420631,298.3324,306.94275,0.353981761,0.653375008,1.282676145,53,-10.264741,0,-1.284070759,-0.212975916,2.754875393,-62.20833343,-13.69930808
82,8,1.578309434,114.8184406,1662.674788,189.6464393,298.47055,307.06613,0.346991314,0.64149404,-0.699544543,48,-4.4763994,0,-2.098580456,-0.624610287,2.642268535,-61.75917578,-13.69930808
83,8,1.507898369,114.8247118,1695.547546,253.2251882,298.72205,306.9522,0.2839606,0.627411791,0.081958546,51,-5.899762,0,-1.732199292,-0.650521115,2.395582088,-61.31001814,-13.69930808
84,9,1.653857407,109.7894384,1608.877395,185.7117802,298.6471,307.5376,0.313474307,0.629709735,-0.92634749,53,-8.8085165,0,-1.585305777,-1.077018308,2.307711409,-60.8608605,-13.69930808
85,24,1.280975053,138.940904,2169.57292,228.3199719,285.43747,292.73495,0.292562593,0.587772894,-1.352219058,38,-39.83387,0,0,-0.635851003,1.66090203,-71.19148627,-13.25015044
